pokemon,movement
Bulbasaur,Headbutt
Bulbasaur,Rest
Bulbasaur,Light Screen
Bulbasaur,Substitute
Bulbasaur,Reflect
Bulbasaur,Toxic
Bulbasaur,Solar Beam
Bulbasaur,Mega Drain
Ivysaur,Headbutt
Ivysaur,Rest
Ivysaur,Light Screen
Ivysaur,Substitute
Ivysaur,Reflect
Ivysaur,Toxic
Ivysaur,Solar Beam
Ivysaur,Mega Drain
Venusaur,Headbutt
Venusaur,Rest
Venusaur,Light Screen
Venusaur,Substitute
Venusaur,Reflect
Venusaur,Toxic
Venusaur,Earthquake
Venusaur,Solar Beam
Venusaur,Hyper Beam
Venusaur,Mega Drain
Charmander,Headbutt
Charmander,Rest
Charmander,Substitute
Charmander,Reflect
Charmander,Dig
Charmander,Seismic Toss
Charmander,Rock Slide
Charmander,Thunder Punch
Charmander,Toxic
Charmander,Fire Punch
Charmander,Flamethrower
Charmander,Fire Blast
Charmeleon,Headbutt
Charmeleon,Rest
Charmeleon,Substitute
Charmeleon,Reflect
Charmeleon,Dig
Charmeleon,Seismic Toss
Charmeleon,Rock Slide
Charmeleon,Thunder Punch
Charmeleon,Toxic
Charmeleon,Fire Punch
Charmeleon,Flamethrower
Charmeleon,Fire Blast
Charizard,Headbutt
Charizard,Rest
Charizard,Substitute
Charizard,Reflect
Charizard,Dig
Charizard,Fly
Charizard,Seismic Toss
Charizard,Rock Slide
Charizard,Thunder Punch
Charizard,Toxic
Charizard,Fire Punch
Charizard,Flamethrower
Charizard,Earthquake
Charizard,Solar Beam
Charizard,Fire Blast
Charizard,Hyper Beam
Squirtle,Headbutt
Squirtle,Rest
Squirtle,Substitute
Squirtle,Reflect
Squirtle,Dig
Squirtle,Seismic Toss
Squirtle,Rock Slide
Squirtle,Waterfall
Squirtle,Toxic
Squirtle,Ice Punch
Squirtle,Surf
Squirtle,Blizzard
Squirtle,Ice Beam
Wartortle,Headbutt
Wartortle,Rest
Wartortle,Substitute
Wartortle,Reflect
Wartortle,Dig
Wartortle,Seismic Toss
Wartortle,Rock Slide
Wartortle,Waterfall
Wartortle,Toxic
Wartortle,Ice Punch
Wartortle,Surf
Wartortle,Blizzard
Wartortle,Ice Beam
Blastoise,Headbutt
Blastoise,Rest
Blastoise,Substitute
Blastoise,Reflect
Blastoise,Dig
Blastoise,Seismic Toss
Blastoise,Rock Slide
Blastoise,Waterfall
Blastoise,Toxic
Blastoise,Ice Punch
Blastoise,Earthquake
Blastoise,Surf
Blastoise,Hyper Beam
Blastoise,Blizzard
Blastoise,Ice Beam
Butterfree,Headbutt
Butterfree,Teleport
Butterfree,Rest
Butterfree,Substitute
Butterfree,Reflect
Butterfree,Toxic
Butterfree,Psychic
Butterfree,Solar Beam
Butterfree,Hyper Beam
Butterfree,Mega Drain
Butterfree,Dream Eater
Beedrill,Headbutt
Beedrill,Rest
Beedrill,Substitute
Beedrill,Reflect
Beedrill,Toxic
Beedrill,Solar Beam
Beedrill,Hyper Beam
Beedrill,Mega Drain
Pidgey,Headbutt
Pidgey,Rest
Pidgey,Substitute
Pidgey,Reflect
Pidgey,Fly
Pidgey,Toxic
Pidgeotto,Headbutt
Pidgeotto,Rest
Pidgeotto,Substitute
Pidgeotto,Reflect
Pidgeotto,Fly
Pidgeotto,Toxic
Pidgeot,Headbutt
Pidgeot,Rest
Pidgeot,Substitute
Pidgeot,Reflect
Pidgeot,Fly
Pidgeot,Toxic
Pidgeot,Hyper Beam
Rattata,Headbutt
Rattata,Rest
Rattata,Substitute
Rattata,Dig
Rattata,Thunder Wave
Rattata,Toxic
Rattata,Thunderbolt
Rattata,Thunder
Rattata,Blizzard
Rattata,Ice Beam
Raticate,Headbutt
Raticate,Rest
Raticate,Substitute
Raticate,Dig
Raticate,Thunder Wave
Raticate,Toxic
Raticate,Thunderbolt
Raticate,Thunder
Raticate,Hyper Beam
Raticate,Blizzard
Raticate,Ice Beam
Spearow,Headbutt
Spearow,Rest
Spearow,Substitute
Spearow,Fly
Spearow,Toxic
Spearow,Tri Attack
Fearow,Headbutt
Fearow,Rest
Fearow,Substitute
Fearow,Fly
Fearow,Toxic
Fearow,Tri Attack
Fearow,Hyper Beam
Ekans,Headbutt
Ekans,Rest
Ekans,Substitute
Ekans,Dig
Ekans,Rock Slide
Ekans,Toxic
Ekans,Earthquake
Ekans,Mega Drain
Arbok,Headbutt
Arbok,Rest
Arbok,Substitute
Arbok,Dig
Arbok,Rock Slide
Arbok,Toxic
Arbok,Earthquake
Arbok,Hyper Beam
Arbok,Mega Drain
Pikachu,Headbutt
Pikachu,Rest
Pikachu,Light Screen
Pikachu,Substitute
Pikachu,Reflect
Pikachu,Dig
Pikachu,Seismic Toss
Pikachu,Thunder Wave
Pikachu,Thunder Punch
Pikachu,Toxic
Pikachu,Thunderbolt
Pikachu,Thunder
Pikachu,Pay Day
Raichu,Headbutt
Raichu,Rest
Raichu,Light Screen
Raichu,Substitute
Raichu,Reflect
Raichu,Dig
Raichu,Seismic Toss
Raichu,Thunder Wave
Raichu,Thunder Punch
Raichu,Toxic
Raichu,Thunderbolt
Raichu,Thunder
Raichu,Hyper Beam
Raichu,Pay Day
Sandshrew,Headbutt
Sandshrew,Rest
Sandshrew,Substitute
Sandshrew,Dig
Sandshrew,Seismic Toss
Sandshrew,Rock Slide
Sandshrew,Toxic
Sandshrew,Earthquake
Sandslash,Headbutt
Sandslash,Rest
Sandslash,Substitute
Sandslash,Dig
Sandslash,Seismic Toss
Sandslash,Rock Slide
Sandslash,Toxic
Sandslash,Earthquake
Sandslash,Hyper Beam
Nidoran♀,Headbutt
Nidoran♀,Rest
Nidoran♀,Substitute
Nidoran♀,Reflect
Nidoran♀,Dig
Nidoran♀,Toxic
Nidoran♀,Thunderbolt
Nidoran♀,Thunder
Nidoran♀,Blizzard
Nidoran♀,Ice Beam
Nidorina,Headbutt
Nidorina,Rest
Nidorina,Substitute
Nidorina,Reflect
Nidorina,Dig
Nidorina,Toxic
Nidorina,Thunderbolt
Nidorina,Thunder
Nidorina,Blizzard
Nidorina,Ice Beam
Nidoqueen,Headbutt
Nidoqueen,Rest
Nidoqueen,Substitute
Nidoqueen,Reflect
Nidoqueen,Dig
Nidoqueen,Seismic Toss
Nidoqueen,Rock Slide
Nidoqueen,Thunder Punch
Nidoqueen,Toxic
Nidoqueen,Fire Punch
Nidoqueen,Ice Punch
Nidoqueen,Thunderbolt
Nidoqueen,Flamethrower
Nidoqueen,Thunder
Nidoqueen,Earthquake
Nidoqueen,Fire Blast
Nidoqueen,Surf
Nidoqueen,Hyper Beam
Nidoqueen,Blizzard
Nidoqueen,Ice Beam
Nidoqueen,Pay Day
Nidoran♂,Headbutt
Nidoran♂,Rest
Nidoran♂,Substitute
Nidoran♂,Reflect
Nidoran♂,Dig
Nidoran♂,Toxic
Nidoran♂,Thunderbolt
Nidoran♂,Thunder
Nidoran♂,Blizzard
Nidoran♂,Ice Beam
Nidorino,Headbutt
Nidorino,Rest
Nidorino,Substitute
Nidorino,Reflect
Nidorino,Dig
Nidorino,Toxic
Nidorino,Thunderbolt
Nidorino,Thunder
Nidorino,Blizzard
Nidorino,Ice Beam
Nidoking,Headbutt
Nidoking,Rest
Nidoking,Substitute
Nidoking,Reflect
Nidoking,Dig
Nidoking,Seismic Toss
Nidoking,Rock Slide
Nidoking,Thunder Punch
Nidoking,Toxic
Nidoking,Fire Punch
Nidoking,Ice Punch
Nidoking,Thunderbolt
Nidoking,Flamethrower
Nidoking,Thunder
Nidoking,Earthquake
Nidoking,Fire Blast
Nidoking,Surf
Nidoking,Hyper Beam
Nidoking,Blizzard
Nidoking,Ice Beam
Nidoking,Pay Day
Clefairy,Headbutt
Clefairy,Teleport
Clefairy,Rest
Clefairy,Light Screen
Clefairy,Substitute
Clefairy,Reflect
Clefairy,Dig
Clefairy,Seismic Toss
Clefairy,Thunder Wave
Clefairy,Thunder Punch
Clefairy,Toxic
Clefairy,Tri Attack
Clefairy,Fire Punch
Clefairy,Ice Punch
Clefairy,Thunderbolt
Clefairy,Flamethrower
Clefairy,Thunder
Clefairy,Psychic
Clefairy,Solar Beam
Clefairy,Fire Blast
Clefairy,Blizzard
Clefairy,Ice Beam
Clefairy,Dream Eater
Clefable,Headbutt
Clefable,Teleport
Clefable,Rest
Clefable,Light Screen
Clefable,Substitute
Clefable,Reflect
Clefable,Dig
Clefable,Seismic Toss
Clefable,Thunder Wave
Clefable,Thunder Punch
Clefable,Toxic
Clefable,Tri Attack
Clefable,Fire Punch
Clefable,Ice Punch
Clefable,Thunderbolt
Clefable,Flamethrower
Clefable,Thunder
Clefable,Psychic
Clefable,Solar Beam
Clefable,Fire Blast
Clefable,Hyper Beam
Clefable,Blizzard
Clefable,Ice Beam
Clefable,Dream Eater
Vulpix,Headbutt
Vulpix,Rest
Vulpix,Substitute
Vulpix,Reflect
Vulpix,Dig
Vulpix,Toxic
Vulpix,Flamethrower
Vulpix,Fire Blast
Ninetales,Headbutt
Ninetales,Rest
Ninetales,Substitute
Ninetales,Reflect
Ninetales,Dig
Ninetales,Toxic
Ninetales,Flamethrower
Ninetales,Solar Beam
Ninetales,Fire Blast
Ninetales,Hyper Beam
Ninetales,Dream Eater
Jigglypuff,Headbutt
Jigglypuff,Teleport
Jigglypuff,Rest
Jigglypuff,Light Screen
Jigglypuff,Substitute
Jigglypuff,Reflect
Jigglypuff,Dig
Jigglypuff,Seismic Toss
Jigglypuff,Thunder Wave
